transactionID,carrierID,customerID,amount,date
1,3,172,13.9,2009-08-17 18:37:13
2,1,713,7.89,2005-07-04 00:26:33
3,1,564,6.3,2005-01-16 18:24:56
4,2,502,14.1,2008-08-02 03:00:36
5,3,83,12.25,2007-02-23 17:09:41
6,3,915,13.03,2005-03-20 07:11:30
7,1,194,12.68,2005-12-21 00:01:57
8,1,545,18.48,2006-07-31 17:20:56
9,3,947,19.16,2009-04-29 13:12:45
10,2,256,12.64,2005-01-24 12:33:33
11,2,324,16.5,2009-06-23 22:13:31
12,1,215,11.99,2007-06-01 16:58:47
13,3,64,18.62,2005-12-02 19:10:07
14,1,672,9.18,2005-09-09 12:55:04
15,2,832,18.65,2007-12-03 12:04:56
16,2,346,13.11,2009-12-18 11:12:13
17,1,483,9.64,2007-11-21 20:06:43
18,1,504,16.97,2007-05-06 01:15:05
19,2,642,12.07,2009-06-10 21:01:01
20,1,982,15.41,2009-10-05 20:55:16
21,1,243,17.26,2008-02-24 15:05:32
22,2,142,11.43,2007-09-21 03:18:57
23,2,814,11.66,2009-08-11 14:45:50
24,3,958,19.4,2006-12-12 06:54:54
25,3,332,8.88,2006-08-07 14:46:26
26,1,53,5.99,2005-08-21 09:40:39
27,3,19,12.33,2008-10-12 13:52:45
28,2,929,5.43,2006-04-18 21:16:48
29,2,547,6.99,2007-06-13 04:21:10
30,2,501,8.04,2005-05-08 01:07:19
31,1,415,19.01,2007-08-17 02:29:32
32,2,262,13.39,2005-09-05 05:30:39
33,1,828,16.05,2005-11-11 09:28:01
34,2,332,6.73,2008-06-13 03:15:54
35,1,763,7.53,2006-10-27 23:25:50
36,3,965,14.38,2005-01-30 11:52:13
37,1,313,9.5,2008-08-17 07:36:49
38,2,365,15.94,2008-05-03 21:29:39
39,3,575,8.27,2005-04-13 21:21:50
40,1,829,18.94,2005-11-16 08:59:54
41,3,92,15.47,2009-05-29 20:18:17
42,1,891,11.3,2009-05-02 14:11:29
43,1,409,13.51,2005-03-09 08:20:43
44,1,463,8.33,2008-10-21 18:05:02
45,1,502,8.43,2008-03-07 16:49:28
46,1,230,10.08,2008-03-31 21:43:15
47,2,227,6.6,2007-08-24 10:26:38
48,2,773,17.93,2008-12-01 02:07:24
49,1,546,10.2,2006-07-04 17:18:42
50,1,592,12.15,2006-07-26 16:19:59
51,1,927,12.49,2007-06-30 01:23:26
52,3,720,13.98,2009-04-20 14:08:39
53,2,103,19.91,2006-05-04 18:21:51
54,1,393,9.04,2007-08-05 18:05:55
55,1,361,16.47,2008-03-19 11:02:10
56,1,140,18.57,2007-12-19 14:17:19
57,1,525,15.84,2009-11-02 13:19:12
58,3,763,17.42,2008-11-17 16:23:25
59,3,237,14.3,2009-06-07 14:25:47
60,2,465,6.85,2009-06-08 06:15:57
61,3,324,8.13,2007-01-26 19:49:49
62,3,809,13.2,2006-12-15 09:02:49
63,3,616,10.95,2006-05-01 00:34:18
64,3,74,14.29,2008-01-24 18:51:52
65,3,762,15.15,2008-04-27 01:16:45
66,1,920,7.0,2009-03-22 15:36:40
67,1,433,18.96,2005-02-20 16:14:37
68,3,205,18.06,2006-11-18 06:23:42
69,1,76,7.47,2005-07-14 12:51:00
70,1,477,10.92,2009-02-07 22:42:31
71,2,65,7.87,2008-09-14 16:38:33
72,3,525,7.68,2007-12-01 11:10:30
73,1,867,9.21,2005-04-28 09:06:45
74,2,151,8.68,2007-10-22 01:54:17
75,1,522,14.39,2009-04-13 23:00:20
76,3,937,11.14,2008-10-10 05:18:09
77,3,376,12.07,2008-02-21 03:28:52
78,2,616,6.57,2005-07-01 00:00:51
79,2,797,13.9,2009-04-23 01:54:33
80,3,283,12.15,2008-03-09 17:23:28
81,2,980,12.33,2007-01-05 17:28:27
82,2,278,18.0,2005-01-03 22:45:33
83,3,254,7.75,2008-06-24 12:38:30
84,1,30,19.55,2005-08-18 18:17:09
85,2,454,9.13,2008-03-23 11:20:11
86,1,89,19.45,2005-04-28 14:41:21
87,1,510,16.49,2009-02-12 09:25:36
88,1,56,19.17,2009-07-26 07:21:57
89,1,114,14.51,2005-07-16 21:07:49
90,3,563,5.52,2005-07-06 05:33:49
91,3,666,6.2,2005-05-11 17:40:02
92,2,710,11.41,2009-12-06 02:47:40
93,2,84,14.84,2007-07-18 16:40:16
94,2,390,17.41,2008-12-10 23:26:45
95,2,64,10.2,2008-01-08 08:01:33
96,2,320,16.25,2007-04-11 20:45:06
97,3,245,9.71,2005-10-19 18:42:44
98,1,753,5.96,2005-05-19 21:28:12
99,2,836,19.11,2005-03-08 08:23:54
100,3,831,5.48,2006-10-25 10:58:05
101,3,309,9.18,2005-02-27 21:18:58
102,3,226,8.01,2007-03-09 10:18:37
103,2,751,18.58,2006-11-18 05:20:50
104,1,472,19.47,2009-12-06 20:03:15
105,3,418,16.21,2009-09-11 10:14:32
106,1,247,7.59,2009-01-18 23:37:15
107,1,491,9.54,2007-10-03 20:48:22
108,2,872,19.11,2008-05-06 16:25:06
109,1,483,10.93,2009-01-30 20:48:52
110,2,978,6.93,2005-05-03 11:10:19
111,3,274,12.39,2006-07-08 22:15:19
112,2,824,19.84,2008-11-23 06:11:54
113,2,211,17.94,2006-09-04 02:50:35
114,1,708,5.88,2008-09-01 01:13:02
115,3,811,6.86,2007-09-28 14:23:33
116,2,963,11.25,2008-02-08 02:14:41
117,3,260,11.73,2007-02-14 06:15:45
118,1,304,12.62,2008-06-04 02:59:39
119,2,387,16.05,2009-01-09 14:53:23
120,2,255,16.74,2005-12-19 13:50:30
121,2,20,11.63,2009-06-14 10:57:56
122,3,415,19.74,2006-01-15 16:25:36
123,1,640,18.71,2006-05-06 20:02:21
124,3,663,16.89,2008-02-01 19:54:29
125,2,347,6.99,2006-06-28 02:57:25
126,2,435,9.46,2009-04-19 20:15:14
127,1,41,17.18,2009-12-02 21:14:32
128,1,779,7.45,2006-05-31 15:00:23
129,2,100,16.04,2005-04-22 12:58:02
130,3,721,19.57,2005-01-11 06:55:51
131,1,20,18.71,2008-08-16 18:19:15
132,1,418,18.31,2008-03-22 21:10:44
133,1,40,18.25,2006-10-06 00:11:15
134,2,731,18.21,2007-03-21 16:39:16
135,2,13,16.46,2009-02-22 09:55:42
136,3,897,8.63,2009-09-29 09:57:09
137,3,228,19.17,2009-04-02 01:56:19
138,3,923,14.41,2005-08-26 04:51:22
139,2,777,19.3,2008-01-05 21:15:51
140,2,430,5.82,2007-04-29 20:09:30
141,1,220,10.27,2006-06-03 05:01:02
142,1,10,7.57,2008-06-07 09:02:27
143,2,762,19.15,2006-06-06 07:51:18
144,2,614,19.2,2008-07-16 15:03:11
145,2,16,9.97,2006-07-08 14:21:37
146,3,314,17.12,2009-09-15 05:52:23
147,3,394,16.08,2005-10-11 08:57:48
148,1,130,17.79,2006-06-29 10:27:57
149,1,266,17.72,2008-11-01 15:53:52
150,1,197,18.86,2009-08-07 07:43:21
151,1,200,13.3,2005-03-24 12:08:00
